id,schoolId,name,field,description
tupk-des,ut-parnu,Teenuste disain ja juhtimine,arts,Kasutajasõbralike teenuste loomine.
tun-teach,ut-narva,Klassiõpetaja,education,Algklasside õpetaja ettevalmistus.
tun-ped,ut-narva,Alushariduse pedagoog,education,Lasteaiaõpetaja ja õppimise toetamine.
tun-lang,ut-narva,Keel ja mitmekeelsus,social,Keeleõpe ja kultuuridevaheline suhtlus.
tun-soc,ut-narva,Noorsootöö,social,Noorte nõustamine ja tegevuste korraldamine.
mar-nav,maritime,Laeva juhtimine,transport,Navigatsioon ja laevajuhtimine.
mar-eng,maritime,Laevamehaanika,tech,Laevade jõuseadmete ja süsteemide hooldus.
mar-port,maritime,Sadamateenused ja logistikajuhtimine,transport,"Kaubavood, sadamatöö ja logistika."
mar-safety,maritime,Mereside ja ohutus,security,Meresõidu ohutus ja sidepidamine.
tthk-nurse,tartu-health,Õendus,health,Hooldus- ja patsienditöö.
tthk-midw,tartu-health,Ämmaemandus,health,Sünnitusabi ja naiste tervis.
tthk-phys,tartu-health,Füsioteraapia,health,Taastusravi ja liikumisravi.
tthk-radio,tartu-health,Radiograafia,health,Meditsiinipildistamise töö.
tthk-it,tthk,IT-süsteemide nooremspetsialist,tech,IT-tugi ja võrkude haldus.
tthk-dev,tthk,Tarkvaraarendaja,tech,Veebi- ja mobiilirakenduste arendus.
tthk-cook,tthk,Kokk,service,Professionaalne kokakoolitus.
tthk-electr,tthk,Elektrik,trades,Elektritööd ja paigaldus.
tthk-weld,tthk,Keevitaja,trades,Metallikonstruktsioonide keevitus.
tthk-build,tthk,Ehitusviimistleja,trades,Hoonete sisetööd.
tthk-mech,tthk,Autotehnik,trades,Sõidukite remont.
tthk-print,tthk,Trükitehnoloog,arts,Trükitööstus ja graafika.
tthk-plumb,tthk,Sanitaartehnik (torulukksepp),trades,Vee- ja kanalisatsioonisüsteemide paigaldus.
tthk-hvac,tthk,Ventilatsioonilukksepp,trades,Ventilatsiooni- ja kliimasüsteemide paigaldus.
tthk-carp,tthk,Tisler,trades,Mööbli ja puittoodete valmistamine.
tthk-paint,tthk,Maaler,trades,Sisepindade värvimine ja viimistlus.
tthk-mason,tthk,Müürsepp,trades,Müüritisetööd ja konstruktsioonid.
tthk-energy,tthk,Elektroonik,tech,Elektroonikaseadmete koost ja remont.
tthk-net,tthk,Võrgutehnik,tech,Andmesidevõrkude paigaldus ja hooldus.
tthk-logist,tthk,Logistik,transport,Lao- ja transpordilogistika.
tthk-warehouse,tthk,Laotöötaja,transport,Laotöö ja kaubakäitlus.
tthk-server,tthk,Klienditeenindaja-müüja,service,Müügi- ja teenindustöö.
tthk-baker,tthk,Pagar,service,Leiva- ja saiatootmine.
tthk-conf,tthk,Kondiiter,service,Magustoidud ja koogid.
tthk-waiter,tthk,Kelner,service,Restoraniteenindus.
tthk-barista,tthk,Barista,service,Kohvijookide valmistamine.
tthk-secur,tthk,Turvatöötaja,security,Objektide ja inimeste turvamine.
voco-bake,tkhk,Pagar-kondiiter,service,"Leivad, saiad, koogid."
voco-hair,tkhk,Juuksur,service,Juuksuri kutseharidus.
voco-cosm,tkhk,Kosmeetik,service,Iluteenused ja näohooldus.
voco-mech,tkhk,Autotehnik,trades,Autode hooldus ja remont.
voco-care,tkhk,Hooldustöötaja,health,Vanurite ja patsientide hooldus.
voco-it,tkhk,Tarkvaraarendaja,tech,Programmeerimine algajatele.
voco-design,tkhk,Multimeedia spetsialist,arts,"Video, foto, disain."
voco-tour,tkhk,Turismikorraldaja,service,Reiside ja ürituste korraldamine.
voco-build,tkhk,Ehitusviimistleja,trades,"Maaler-, plaatija- ja viimistlustööd."
voco-carp,tkhk,Tisler,trades,Mööbli ja puittoodete valmistamine.
voco-weld,tkhk,Keevitaja,trades,Metallikonstruktsioonide ühendamine.
voco-elec,tkhk,Elektrik,trades,Elektritööd ja paigaldused.
voco-cook,tkhk,Kokk,service,Restorani- ja toitlustustöö.
voco-waiter,tkhk,Kelner,service,Saaliteenindus.
voco-vet,tkhk,Loomahooldaja,agri,Loomade hooldus ja heaolu.
voco-acc,tkhk,Raamatupidaja,business,Raamatupidamise alustõed ja praktika.
voco-sec,tkhk,Sekretär,business,Bürootöö ja dokumendihaldus.
voco-graph,tkhk,Graafiline disain,arts,Visuaalne identiteet ja küljendus.
voco-photo,tkhk,Fotograaf,arts,Pildistamine ja töötlus.
voco-floor,tkhk,Florist,arts,Lilleseaded.
voco-logist,tkhk,Logistik,transport,Tarneahel ja transport.
ptk-tour,ptk,Turismikorraldaja,service,Turismi- ja vabaajaürituste korraldus.
ptk-wood,ptk,Puidutöötleja,trades,Puidu töötlemine ja viimistlus.
ptk-it,ptk,Nooremtarkvaraarendaja,tech,Veebiarendus algajatele.
ptk-cook,ptk,Kokk,service,Toitlustusala kutse.
ptk-hotel,ptk,Hotelliteenindaja,service,Majutusasutuse teenindus.
vkhk-wood,vkhk,Tisler,trades,Mööbli ja sisustuselementide valmistamine.
vkhk-it,vkhk,IT-spetsialist,tech,Süsteemide hooldus.
vkhk-design,vkhk,Sisekujundaja abi,arts,Interjööri kujundamine.
vkhk-cnc,vkhk,CNC-operaator,trades,Arvjuhtimisega pinkide kasutamine.
iv-chem,ivkhk,Keemiatehnoloogia,science,Keemiatööstuse operaator.
iv-mech,ivkhk,Mehhatroonik,tech,Tööstusseadmete hooldus.
iv-cook,ivkhk,Kokk,service,Toitlustamise kutse.
iv-log,ivkhk,Logistik,transport,Veose- ja laologistika.
iv-weld,ivkhk,Keevitaja,trades,Metallitöö.
kpk-boat,kpk,Väikelaevaehitaja,trades,Paatide ja jahtide ehitus.
kpk-it,kpk,IT-süsteemide nooremspetsialist,tech,Arvutivõrkude tugi.
kpk-cook,kpk,Kokk,service,Restoranitöö.
rk-it,rkhk,IT-süsteemide spetsialist,tech,Tehniline tugi.
rk-cook,rkhk,Kokk,service,Toitlustus.
rk-floor,rkhk,Florist,arts,Lillede kujundamine.
rk-care,rkhk,Hooldustöötaja,health,Tervishoiu hooldus.
vk-auto,vamk,Autotehnik,trades,Sõidukite hooldus.
vk-build,vamk,Müürsepp,trades,Ehitustöö ja müüritöö.
vk-cook,vamk,Kokk,service,Toitlustus.
ha-care,haapsalu,Hooldustöötaja,health,Hooldekodu ja haigla töö.
ha-cook,haapsalu,Kokk,service,Toitlustamine.
ha-it,haapsalu,IT-spetsialist,tech,Arvutid ja võrgud.
ol-farm,olustvere,Põllumajandustootja,agri,Talupidamine ja taimekasvatus.
ol-cheese,olustvere,Juustumeister,agri,Piimatoodete tehnoloogia.
ol-craft,olustvere,Käsitöömeister,arts,Rahvuslik käsitöö.
lu-forest,luua,Metsur,agri,Metsa raie ja hooldus.
lu-arb,luua,Arborist,agri,Puuhooldusspetsialist.
lu-mach,luua,Metsamasina operaator,trades,Harvesteri ja forwardi juhtimine.
ra-gard,rmk,Maastikuehitaja,agri,Aedade ja maastiku rajamine.
ra-flor,rmk,Florist,arts,Lilleseaded ja kompositsioonid.
ra-keep,rmk,Aednik,agri,Taimede kasvatamine.
lmk-auto,lmk,Automehhaanik,trades,Sõidukite remont ja diagnostika.
lmk-cnc,lmk,CNC-töötlemispinkide operaator,trades,Arvjuhtimisega pinkide kasutamine.
lmk-mec,lmk,Mehhatroonik,tech,Masinate ja automaatika ühendamine.
lmk-weld,lmk,Keevitaja,trades,Metallitöö ja ühendustehnoloogiad.
jkhk-agri,jkhk,Põllumajandustehnik,agri,"Masinad, taime- ja loomakasvatus."
jkhk-auto,jkhk,Autotehnik,trades,Sõidukite hooldus ja remont.
jkhk-cook,jkhk,Kokk,service,Toitlustus ja köögitöö.
jkhk-it,jkhk,IT-spetsialist,tech,Arvutivõrgud ja tugiteenused.
jkhk-build,jkhk,Ehitusviimistleja,trades,Sisetööd ja viimistlus.
viko-hair,viko,Juuksur,service,Juuksehooldus ja stilistika.
viko-cook,viko,Kokk,service,Toitlustusala kutse.
viko-auto,viko,Autotehnik,trades,Autode hooldus ja diagnoos.
viko-wood,viko,Puidutööline,trades,Mööbli ja puitdetailide valmistamine.
viko-it,viko,IT-nooremspetsialist,tech,Arvutite ja süsteemide tugi.
keh-agri,kehtna,Põllumajandustootja,agri,Taime- ja loomakasvatus.
keh-mec,kehtna,Tehnik,tech,Masinate hooldus ja remont.
keh-cook,kehtna,Kokk,service,Toitlustamine.
keh-driver,kehtna,Bussijuht,transport,Sõitjate vedu ja liiklusohutus.
tak-graph,tartu-art,Graafiline disain,arts,Visuaalne kommunikatsioon ja kujundus.
tak-fash,tartu-art,Rõivadisain,arts,Rõivaste kavandamine ja õmblemine.
tak-3d,tartu-art,3D-modelleerimine,arts,Digitaalsete objektide ja prototüüpide loomine.
tak-photo,tartu-art,Fotograafia,arts,Pildistamine ja pilditöötlus.
pehk-build,pehk,Ehitaja,trades,Ehitustööd ja konstruktsioonid.
pehk-cook,pehk,Kokk,service,Köögitöö ja toitlustus.
pehk-auto,pehk,Autotehnik,trades,Autoremont ja hooldus.
pehk-service,pehk,Teenindaja,service,Klienditeenindus ja müük.
tpt-dev,tpt,Tarkvaraarendaja,tech,"Veebi- ja äpiarendus, andmebaasid."
tpt-it,tpt,IT-süsteemide nooremspetsialist,tech,Süsteemide ja võrkude haldus.
tpt-cyber,tpt,Küberturbe spetsialisti abi,tech,Infoturbe alused ja praktika.
tpt-net,tpt,Võrgutehnik,tech,Arvutivõrkude paigaldus.
tpt-elec,tpt,Elektroonik,tech,Elektroonikaseadmete koost ja remont.
tpt-mecha,tpt,Mehhatroonik,tech,"Mehaanika, elektroonika ja juhtimine."
tpt-auto,tpt,Sõidukitehnik,trades,Autode hooldus ja diagnostika.
tpt-energy,tpt,Energiatehnoloog,tech,Energiasüsteemide töö ja seire.
tpt-multi,tpt,Multimeediaspetsialist,arts,"Video, animatsioon ja veeb."
kop-build,kopli,Ehitaja,trades,Üldehituslikud tööd.
kop-mason,kopli,Müürsepp,trades,Müüritised ja laotis.
kop-paint,kopli,Maaler,trades,Värvimis- ja viimistlustööd.
kop-plumb,kopli,Sanitaartehnik,trades,Vee- ja kanalisatsioonisüsteemide paigaldus.
kop-weld,kopli,Keevitaja,trades,Metallitööd ja keevitus.
kop-boat,kopli,Väikelaevaehitaja,trades,Paatide ja jahtide ehitus.
kop-rope,kopli,Köietööde tegija (kõrgustes),trades,Tööstuslikud kõrgustestööd.
teen-cook,teen,Kokk,service,Toitlustustöö ja köök.
teen-bake,teen,Pagar-kondiiter,service,Pagari- ja kondiitritooted.
teen-waiter,teen,Kelner,service,Restorani- ja teenindustöö.
teen-bart,teen,Baarmen,service,Joogikultuur ja baariteenindus.
teen-hair,teen,Juuksur,service,Juuksuri kutse.
teen-cosm,teen,Kosmeetik,service,Näo- ja ihuhooldus.
teen-mani,teen,Maniküürija-pediküürija,service,Küünehooldus.
teen-mass,teen,Massöör,health,Klassikaline ja sportmassaaž.
teen-spa,teen,Spateenindaja,service,Spaaprotseduurid ja klienditeenindus.
teen-tour,teen,Reisikorraldaja,service,Turismi- ja reisitöö.
teen-hotel,teen,Hotelliteenindaja,service,Majutusasutuse teenindus.
teen-floor,teen,Florist,arts,Lilleseaded ja kompositsioonid.
nv-it,narva-koek,IT-süsteemide spetsialist,tech,Tehniline tugi ja võrgud.
nv-weld,narva-koek,Keevitaja,trades,Metallitööd.
nv-build,narva-koek,Ehitaja,trades,Üldehitustööd.
nv-cook,narva-koek,Kokk,service,Toitlustustöö.
nv-hair,narva-koek,Juuksur,service,Iluteenused.
nv-care,narva-koek,Hooldustöötaja,health,Patsiendi- ja vanurihooldus.
nv-log,narva-koek,Logistik,transport,Veose- ja laologistika.
hi-cook,hiiumaa,Kokk,service,Toitlustustöö.
hi-build,hiiumaa,Ehitusviimistleja,trades,Sisetööd.
hi-it,hiiumaa,IT-spetsialist,tech,Tehniline tugi.
hi-tour,hiiumaa,Maaturismi teenindaja,service,Saareturism ja teenindus.
vig-mech,vigala,Põllumajandustehnik,agri,Põllutehnika hooldus.
vig-auto,vigala,Autotehnik,trades,Sõidukite remont.
vig-cook,vigala,Kokk,service,Köögitöö.
vig-build,vigala,Üldehitaja,trades,Maaehitus.
el-perf,elleri,Pillimängija (klassikaline),arts,Klassikaliste pillide õpe ja esitus.
el-jazz,elleri,Rütmimuusika (jazz),arts,Jazzi- ja popmuusika esitamine.
el-comp,elleri,Helilooja-arranžeerija,arts,Muusika loomine ja seadmine.
el-cond,elleri,Koorijuhtimine,arts,Kooride ja ansamblite juhatamine.
el-sound,elleri,Helitehnik / helirežii,arts,Salvestus ja heli töötlus.
ots-perf,ots,Pillimängija,arts,Pilliõpe (klassikaline ja rütmimuusika).
ots-vocal,ots,Vokaal (laul),arts,Lauluõpe ja esinemine.
ots-comp,ots,Helilooming ja arranžeerimine,arts,Muusika kirjutamine.
ots-sound,ots,Helirežii ja helitehnika,arts,"Salvestus, miksimine ja produktsioon."
pal-paint,pallas,Maal,arts,Maalikunsti praktika ja teooria.
pal-sculp,pallas,Skulptuur,arts,Ruumiline kunst ja objektid.
pal-text,pallas,Tekstiilidisain,arts,Tekstiilide ja mustrite loomine.
pal-restore,pallas,Restaureerimine,arts,Kunstiteoste taastamine.
pal-photo,pallas,Fotograafia,arts,Kunstifoto ja dokumentaalfoto.
pal-leather,pallas,Nahadisain,arts,Naha kasutamine ja töötlemine.
ast-helper,astangu,Abikokk,service,Köögitöö abilisena.
ast-clean,astangu,Puhastusteenindaja,service,Hoonete puhastustöö.
ast-craft,astangu,Käsitöö,arts,Käsitöö ja loovuse arendamine.
ast-garden,astangu,Aedniku abi,agri,Taimede hooldus ja kasvatus.
sm-perf,saaremaa-mu,Pillimängija,arts,Pilli- ja vokaalõpe.
